Mon Dec 14 11:13:16 2020  [INFO]: Holoblink logger message
Mon Dec 14 11:15:53 2020  [INFO]: New connection received 
Mon Dec 14 11:15:55 2020  [INFO]: Started reading
Mon Dec 14 11:15:56 2020  [INFO]: Started reading
Mon Dec 14 11:20:04 2020  [INFO]: Started reading
Mon Dec 14 11:20:04 2020  [INFO]: hologram updated
Mon Dec 14 11:20:04 2020  [INFO]: photostim sent
Mon Dec 14 11:20:04 2020  [INFO]: Returned to client
Mon Dec 14 11:20:04 2020  [INFO]: updated gui
Mon Dec 14 11:20:04 2020  [INFO]: Started reading
Mon Dec 14 11:20:04 2020  [INFO]: hologram updated
Mon Dec 14 11:20:04 2020  [INFO]: photostim sent
Mon Dec 14 11:20:04 2020  [INFO]: Returned to client
Mon Dec 14 11:20:04 2020  [INFO]: updated gui
Mon Dec 14 11:20:05 2020  [INFO]: Started reading
Mon Dec 14 11:20:05 2020  [INFO]: hologram updated
Mon Dec 14 11:20:05 2020  [INFO]: photostim sent
Mon Dec 14 11:20:05 2020  [INFO]: Returned to client
Mon Dec 14 11:20:05 2020  [INFO]: updated gui
Mon Dec 14 11:20:06 2020  [INFO]: Started reading
Mon Dec 14 11:20:06 2020  [INFO]: hologram updated
Mon Dec 14 11:20:06 2020  [INFO]: photostim sent
Mon Dec 14 11:20:06 2020  [INFO]: Returned to client
Mon Dec 14 11:20:06 2020  [INFO]: updated gui
Mon Dec 14 11:20:06 2020  [INFO]: Started reading
Mon Dec 14 11:20:06 2020  [INFO]: hologram updated
Mon Dec 14 11:20:06 2020  [INFO]: photostim sent
Mon Dec 14 11:20:06 2020  [INFO]: Returned to client
Mon Dec 14 11:20:06 2020  [INFO]: updated gui
Mon Dec 14 11:20:07 2020  [INFO]: Started reading
Mon Dec 14 11:20:07 2020  [INFO]: hologram updated
Mon Dec 14 11:20:07 2020  [INFO]: photostim sent
Mon Dec 14 11:20:07 2020  [INFO]: Returned to client
Mon Dec 14 11:20:07 2020  [INFO]: updated gui
Mon Dec 14 11:20:08 2020  [INFO]: Started reading
Mon Dec 14 11:20:08 2020  [INFO]: hologram updated
Mon Dec 14 11:20:08 2020  [INFO]: photostim sent
Mon Dec 14 11:20:08 2020  [INFO]: Returned to client
Mon Dec 14 11:20:08 2020  [INFO]: updated gui
Mon Dec 14 11:20:08 2020  [INFO]: Started reading
Mon Dec 14 11:20:08 2020  [INFO]: hologram updated
Mon Dec 14 11:20:08 2020  [INFO]: photostim sent
Mon Dec 14 11:20:08 2020  [INFO]: Returned to client
Mon Dec 14 11:20:08 2020  [INFO]: updated gui
Mon Dec 14 11:20:09 2020  [INFO]: Started reading
Mon Dec 14 11:20:09 2020  [INFO]: hologram updated
Mon Dec 14 11:20:09 2020  [INFO]: photostim sent
Mon Dec 14 11:20:09 2020  [INFO]: Returned to client
Mon Dec 14 11:20:09 2020  [INFO]: updated gui
Mon Dec 14 11:20:10 2020  [INFO]: Started reading
Mon Dec 14 11:20:10 2020  [INFO]: hologram updated
Mon Dec 14 11:20:10 2020  [INFO]: photostim sent
Mon Dec 14 11:20:10 2020  [INFO]: Returned to client
Mon Dec 14 11:20:10 2020  [INFO]: updated gui
Mon Dec 14 11:20:10 2020  [INFO]: Started reading
Mon Dec 14 11:20:10 2020  [INFO]: hologram updated
Mon Dec 14 11:20:10 2020  [INFO]: photostim sent
Mon Dec 14 11:20:10 2020  [INFO]: Returned to client
Mon Dec 14 11:20:10 2020  [INFO]: updated gui
Mon Dec 14 11:20:11 2020  [INFO]: Started reading
Mon Dec 14 11:20:11 2020  [INFO]: hologram updated
Mon Dec 14 11:20:11 2020  [INFO]: photostim sent
Mon Dec 14 11:20:11 2020  [INFO]: Returned to client
Mon Dec 14 11:20:11 2020  [INFO]: updated gui
Mon Dec 14 11:20:12 2020  [INFO]: Started reading
Mon Dec 14 11:20:12 2020  [INFO]: hologram updated
Mon Dec 14 11:20:12 2020  [INFO]: photostim sent
Mon Dec 14 11:20:12 2020  [INFO]: Returned to client
Mon Dec 14 11:20:12 2020  [INFO]: updated gui
Mon Dec 14 11:20:12 2020  [INFO]: Started reading
Mon Dec 14 11:20:12 2020  [INFO]: hologram updated
Mon Dec 14 11:20:12 2020  [INFO]: photostim sent
Mon Dec 14 11:20:12 2020  [INFO]: Returned to client
Mon Dec 14 11:20:12 2020  [INFO]: updated gui
Mon Dec 14 11:20:13 2020  [INFO]: Started reading
Mon Dec 14 11:20:13 2020  [INFO]: hologram updated
Mon Dec 14 11:20:13 2020  [INFO]: photostim sent
Mon Dec 14 11:20:13 2020  [INFO]: Returned to client
Mon Dec 14 11:20:13 2020  [INFO]: updated gui
Mon Dec 14 11:20:14 2020  [INFO]: Started reading
Mon Dec 14 11:20:14 2020  [INFO]: hologram updated
Mon Dec 14 11:20:14 2020  [INFO]: photostim sent
Mon Dec 14 11:20:14 2020  [INFO]: Returned to client
Mon Dec 14 11:20:14 2020  [INFO]: updated gui
Mon Dec 14 11:20:14 2020  [INFO]: Started reading
Mon Dec 14 11:20:14 2020  [INFO]: hologram updated
Mon Dec 14 11:20:14 2020  [INFO]: photostim sent
Mon Dec 14 11:20:14 2020  [INFO]: Returned to client
Mon Dec 14 11:20:14 2020  [INFO]: updated gui
Mon Dec 14 11:20:15 2020  [INFO]: Started reading
Mon Dec 14 11:20:15 2020  [INFO]: hologram updated
Mon Dec 14 11:20:15 2020  [INFO]: photostim sent
Mon Dec 14 11:20:15 2020  [INFO]: Returned to client
Mon Dec 14 11:20:15 2020  [INFO]: updated gui
Mon Dec 14 11:20:15 2020  [INFO]: Started reading
Mon Dec 14 11:20:15 2020  [INFO]: hologram updated
Mon Dec 14 11:20:16 2020  [INFO]: photostim sent
Mon Dec 14 11:20:16 2020  [INFO]: Returned to client
Mon Dec 14 11:20:16 2020  [INFO]: updated gui
Mon Dec 14 11:20:16 2020  [INFO]: Started reading
Mon Dec 14 11:20:16 2020  [INFO]: hologram updated
Mon Dec 14 11:20:16 2020  [INFO]: photostim sent
Mon Dec 14 11:20:16 2020  [INFO]: Returned to client
Mon Dec 14 11:20:16 2020  [INFO]: updated gui
Mon Dec 14 11:20:17 2020  [INFO]: Started reading
Mon Dec 14 11:20:17 2020  [INFO]: hologram updated
Mon Dec 14 11:20:17 2020  [INFO]: photostim sent
Mon Dec 14 11:20:17 2020  [INFO]: Returned to client
Mon Dec 14 11:20:17 2020  [INFO]: updated gui
Mon Dec 14 11:20:17 2020  [INFO]: Started reading
Mon Dec 14 11:20:17 2020  [INFO]: hologram updated
Mon Dec 14 11:20:18 2020  [INFO]: photostim sent
Mon Dec 14 11:20:18 2020  [INFO]: Returned to client
Mon Dec 14 11:20:18 2020  [INFO]: updated gui
Mon Dec 14 11:20:18 2020  [INFO]: Started reading
Mon Dec 14 11:20:18 2020  [INFO]: hologram updated
Mon Dec 14 11:20:18 2020  [INFO]: photostim sent
Mon Dec 14 11:20:18 2020  [INFO]: Returned to client
Mon Dec 14 11:20:18 2020  [INFO]: updated gui
Mon Dec 14 11:20:19 2020  [INFO]: Started reading
Mon Dec 14 11:20:19 2020  [INFO]: hologram updated
Mon Dec 14 11:20:19 2020  [INFO]: photostim sent
Mon Dec 14 11:20:19 2020  [INFO]: Returned to client
Mon Dec 14 11:20:19 2020  [INFO]: updated gui
Mon Dec 14 11:20:19 2020  [INFO]: Started reading
Mon Dec 14 11:20:19 2020  [INFO]: hologram updated
Mon Dec 14 11:20:20 2020  [INFO]: photostim sent
Mon Dec 14 11:20:20 2020  [INFO]: Returned to client
Mon Dec 14 11:20:20 2020  [INFO]: updated gui
Mon Dec 14 11:20:20 2020  [INFO]: Started reading
Mon Dec 14 11:20:20 2020  [INFO]: hologram updated
Mon Dec 14 11:20:20 2020  [INFO]: photostim sent
Mon Dec 14 11:20:20 2020  [INFO]: Returned to client
Mon Dec 14 11:20:20 2020  [INFO]: updated gui
Mon Dec 14 11:20:21 2020  [INFO]: Started reading
Mon Dec 14 11:20:21 2020  [INFO]: hologram updated
Mon Dec 14 11:20:21 2020  [INFO]: photostim sent
Mon Dec 14 11:20:21 2020  [INFO]: Returned to client
Mon Dec 14 11:20:21 2020  [INFO]: updated gui
Mon Dec 14 11:20:21 2020  [INFO]: Started reading
Mon Dec 14 11:20:21 2020  [INFO]: hologram updated
Mon Dec 14 11:20:22 2020  [INFO]: photostim sent
Mon Dec 14 11:20:22 2020  [INFO]: Returned to client
Mon Dec 14 11:20:22 2020  [INFO]: updated gui
Mon Dec 14 11:20:22 2020  [INFO]: Started reading
Mon Dec 14 11:20:22 2020  [INFO]: hologram updated
Mon Dec 14 11:20:22 2020  [INFO]: photostim sent
Mon Dec 14 11:20:22 2020  [INFO]: Returned to client
Mon Dec 14 11:20:22 2020  [INFO]: updated gui
Mon Dec 14 11:20:23 2020  [INFO]: Started reading
Mon Dec 14 11:20:23 2020  [INFO]: hologram updated
Mon Dec 14 11:20:23 2020  [INFO]: photostim sent
Mon Dec 14 11:20:23 2020  [INFO]: Returned to client
Mon Dec 14 11:20:23 2020  [INFO]: updated gui
Mon Dec 14 11:20:23 2020  [INFO]: Started reading
Mon Dec 14 11:20:23 2020  [INFO]: hologram updated
Mon Dec 14 11:20:24 2020  [INFO]: photostim sent
Mon Dec 14 11:20:24 2020  [INFO]: Returned to client
Mon Dec 14 11:20:24 2020  [INFO]: updated gui
Mon Dec 14 11:20:24 2020  [INFO]: Started reading
Mon Dec 14 11:20:24 2020  [INFO]: hologram updated
Mon Dec 14 11:20:24 2020  [INFO]: photostim sent
Mon Dec 14 11:20:24 2020  [INFO]: Returned to client
Mon Dec 14 11:20:24 2020  [INFO]: updated gui
Mon Dec 14 11:20:25 2020  [INFO]: Started reading
Mon Dec 14 11:20:25 2020  [INFO]: hologram updated
